Year,Round,Paper,Score,Rank,Category,Offers
2024,Round 2,CS,784,349,GEN,IIT KGP Industrial Engineering and Management
2024,Round 2,CS,780,365,OBC,"IIT K, IIT KGP, IIT G"
2024,Round 2,CS,778,370,GEN,IIT Roorkee Applied Mathematics and Scientific Computing
2024,Round 2,CS,778,370,GEN,Iit bhu iot TA
2024,Round 2,CS,776,379,EWS,"IIT Roorkie Applied mathematics & Scientific Computing, IIT Madras Biomedical Engg, IIT KGP medical imaging & informatics"
2024,Round 2,CS,775,385,GEN,"IIT bombay systems and controls, IIT KGP biomedical, IIT KGP enterprenuership"
2024,Round 2,CS,771,404,OBC,"IIT DELHI MINDS (RETAINED), IIT KGP CS, IIT KANPUR CS"
2024,Round 2,CS,771,404,GEN,"IISC Bangalore CSE(WQ Retained round 1),, Iit jodhpur cse TA"
2024,Round 2,CS,767,422,OBC,"IIT Kanpur CSE TA, IIT KGP CSE TA, IIT Guwahati CSE TA, IIT Roorkee AI"
2024,Round 2,CS,767,422,OBC,"IITG CSE, IITK CSE, IITKGP CSE"
2024,Round 2,CS,767,422,OBC,"IIT Kanpur CS, IIT Khargpur CS, IIT Guwahati CS , IIT Hyderabad AI"
2024,Round 2,CS,767,422,OBC,"IIT KANPUR CSE, IIT kharagpur cse, IIT Guwahati Cse"
2024,Round 2,CS,762,458,EWS,IIT Roorkee m.tech applied maths and science computing
2024,Round 2,CS,762,458,OBC,"IIT Guwahati MTech CSE, IIT Delhi MTech CTech, IIT Kharagpur MTech CSE"
2024,Round 2,CS,760,468,GEN,IIT ISM Dhanbad CSE (Retained from Round 1)
2024,Round 2,CS,760,468,EWS,IIT Indore CSE (retained from 1st round)
2024,Round 2,CS,758,482,GEN,"IISC Robotics (Retained from R1), IIT Bhuvneshwar CS"
2024,Round 2,CS,756,494,OBC,"IIT Guwahati Robotics and AI, IIT Roorkee Data Science"
2024,Round 2,CS,756,494,OBC,"iit roorkee- data science, iit-guwahati-robotics and ai"
2024,Round 2,CS,756,494,OBC,"IIT BHU - AI, IIT Delhi - AI, IIT Delhi - Computer technology , IIT Roorkee - Applied mathematics"
2024,Round 2,CS,756,494,OBC,"IIT Guwahati Robotics and AI, IIT Delhi Cyber Security , IIT Roorkee Applied Mathematics and Scientific Computing"
2024,Round 2,CS,753,515,OBC,iit d cybersecurity ta retained in 1st round
2024,Round 2,CS,751,531,OBC,IITJ CS ( Retained from R1)
2024,Round 2,CS,747,554,EWS,IIT Kharagpur AI
2024,Round 2,CS,747,554,GEN,"IIT Dhanbad CSE, IIT rpr Ai"
2024,Round 2,CS,747,554,EWS,"IIT ISM Dhanbad CSE, IIT KGP Safety Engineering and Analytics"
2024,Round 2,CS,745,565,GEN,"IIT MANDI MTECH CSE, IIT KHARAGPUR MTECH QUALITY AND RELIABILITY ENGINEERING"
2024,Round 2,CS,745,565,OBC,"IIT ROORKEE (Applied mathematics and scientific computing), IIT Delhi Computer technology , IIT Kharagpur operations research and data analytics"
2024,Round 2,CS,744,577,EWS,IISc CDS
2024,Round 2,CS,744,577,EWS,"IIT DHANBAD CSE (retained from round 1), IIT BHU CSE IOT"
2024,Round 2,CS,744,577,OBC,IIT BHU CSE AI
2024,Round 2,CS,738,618,GEN,IIT Bhubaneshwar (Artificial Intelligence) TA
2024,Round 2,CS,736,629,OBC,Iit Bhu iot
2024,Round 2,CS,731,677,EWS,IIT Bbsr AI (applied as general)
2024,Round 2,CS,720,757,GEN,IIT Tirupati CSE
2024,Round 2,CS,718,776,OBC,iit dhanbad mtech cse (from rnd1)
2024,Round 2,CS,716,793,GEN,IIT Tirupati CSE TA
2024,Round 2,CS,716,793,OBC,Safety Engineering and Analytics IIT KGP
2024,Round 2,CS,715,810,OBC,IIT Dhanbad{Retained from 1st round}
2024,Round 2,CS,712,81,GEN,820
2024,Round 2,CS,709,405,EWS,IIT JODHPUR IOT
2024,Round 2,CS,709,863,OBC,"IIT ISM Dhanbad CSE TA, IIT ISM Dhanbad DA TA, IIT RPR CSE TA, IIT Kharagpur medical imaging and informatics"
2024,Round 2,CS,704,911,EWS,Iit dhanbad cse Ta
2024,Round 2,CS,701,922,OBC,"IIT Delhi Telecommunication Technology Management, IIT Bombay Solid State Devices, IIT Dhanbad CSE"
2024,Round 2,CS,701,922,OBC,IIT KGP AI
2024,Round 2,CS,698,957,GEN,IIT Jammu Cse TA(From first Round)
2024,Round 2,CS,698,957,OBC,IIT PATNA CSE
2024,Round 2,CS,697,971,OBC,IIT Kgp AI (interview + gate score)
2024,Round 2,CS,697,971,GEN,"IIT BHILAI CSE, IIT DHARWAD CSE TA Retained from first"
2024,Round 2,CS,686,1085,GEN,IIT Dhanbad Industrial Engineering and Management
2024,Round 2,CS,682,1131,EWS,"IIT Kanpur Cognitive Systems, IIT Delhi Robotics, IIT Delhi MInDS"
2024,Round 2,CS,679,1150,GEN,IIT Dharwad M.Tech CSE TA
2024,Round 2,CS,675,1219,GEN,IIT Patna MNC(retained from round 1)
2024,Round 2,CS,672,1247,GEN,"IIT Patna MnC, IIT Jammu CS TA"
2024,Round 2,CS,672,1247,OBC,"IIT Bhilai , IIT palakkad"
2024,Round 2,CS,661,1380,OBC,IIT R Computational Materials
2024,Round 2,CS,661,1406,OBC,"IIT Jammu CSE (round 1), IIT Bhilai CSE, IIT Jodhpur Robotics"
2024,Round 2,CS,654,1478,SC,"IISc CSE , IIT Kharagpur CSE , IIT Guwahati cse, IIT kanpur CSE , IIT Roorkee AI"
2024,Round 2,CS,646,1623,OBC,"IIT Jammu (2yrs), IIT Jammu (3yrs)"
2024,Round 2,CS,617,2140,OBC,IITP Mathematics & Computing
2024,Round 2,CS,610,2276,OBC,"IIT Jodhpur Cyber physical System TA, IIT Dharawad CSE TA"
2024,Round 2,CS,494,5783,SC,"Iit jammu cse, Iit jammu cse 3yr programme"
2024,Round 2,CS,474,6790,SC,IIT JAMMU CSE TA
2024,Round 2,CS,364,15898,PWD,"IIT Hyderabad CSE , IIT Kharagpur DA"
2024,Round 2,DA,845,46,GEN,IIT Madras DSAI TA
2024,Round 2,DA,762,124,OBC,"IIT Madras DSAI HTTA, IIT Kharagpur AI TA"
2024,Round 2,DA,748,142,GEN,"IIT ISM CSE, IIT Roorkee Structural and computational Bio, IIT KGP Earth system science & Tech"
2024,Round 2,DA,730,189,GEN,Iit kgp - spml
2024,Round 2,DA,716,234,GEN,"IIT delhi Robotics , IIT Kgp Safety engineering and analysis"
2024,Round 2,DA,670,421,GEN,iit jodhpur quantum technology
2024,Round 2,DA,670,421,GEN,IIT KGP SPML
2024,Round 2,DA,624,686,OBC,IIT bhilai
2024,Round 2,DA,445,3400,ST,IIT ROORKEE AI
2024,Round 3,CS,888,67,GEN,IIT Bombay CSE TA
2024,Round 3,CS,863,99,EWS,"IISc Banglore CSA TA, IIT Bombay CSE TA"
2024,Round 3,CS,863,102,GEN,"IIT Delhi CSE TA, IIT Madras CSE HTTA"
2024,Round 3,CS,859,107,EWS,"IIT MADRAS CSE TA(RETAINED), IIT BOMBAY CSE TA"
2024,Round 3,CS,855,112,EWS,"IISC Banglore MTECH CSE TA , IIT Bombay MTECH CSE TA"
2024,Round 3,CS,855,112,GEN,"IIT Kanpur CSE (Retained from 2), IITH AI"
2024,Round 3,CS,852,118,GEN,IIT Kanpur CSE
2024,Round 3,CS,841,144,GEN,"IIT Bombay (MTech RA), IIT Kanpur (Retained from Round 2), IIT Hyderabad CSE"
2024,Round 3,CS,841,148,GEN,IIT Kanpur CSIT
2024,Round 3,CS,838,151,EWS,"IIT Bombay CSE TA, IIT madras CSE TA, IIT delhi CSE TA, IIT kanpur CSE TA"
2024,Round 3,CS,834,161,EWS,"IIT KANPUR cse TA, IIT MADRAS CSE TA"
2024,Round 3,CS,833,166,GEN,"IIT Hyderabad CSE, IIT Kanpur CSE, IIT Kharagpur CSE (Retained in 2nd Round)"
2024,Round 3,CS,833,166,GEN,"IIT Kanpur CSE TA, IIT KGP CSE TA(Retained from Round 2)"
2024,Round 3,CS,827,185,GEN,"IIT Kanpur CSE TA, IIT Kharagpur CSE TA(Retained from Round 2), IIT Hyderabad NIS, IIT Roorkee CSE TA"
2024,Round 3,CS,819,210,GEN,IIT Roorkee AI Mtech
2024,Round 3,CS,811,236,GEN,IIT Kgp TA
2024,Round 3,CS,811,236,GEN,"IIT KGP CSE, IITG CSE (Retained Previously), IITG RAI"
2024,Round 3,CS,811,236,GEN,"IIT Guwahati CSE (retained from round 2), IIT Kharagpur CSE , IIT Roorkee AI"
2024,Round 3,CS,809,246,GEN,"IIT Guwahati , IIT Kharagpur , IIT Bombay - MS"
2024,Round 3,CS,808,253,GEN,"IIT Kharagpur ORDA (Retained from round 2), IIT Guwahati CSE, IIT Guwahati Robotics and AI"
2024,Round 3,CS,808,253,OBC,"IIT BOMBAY CSE TA, IIT MADRAS CSE TA, IIT HYDEABAD"
2024,Round 3,CS,808,253,GEN,"IITG CSE TA, IIT KGP CSE TA"
2024,Round 3,CS,808,253,GEN,IIT KGP CSE
2024,Round 3,CS,808,253,GEN,"IIT Delhi Cyber Security IIT Kharagpur Data Science, IIT Delhi Cyber Security IIT Kharagpur CSE TA IIT Guwahati CSE TA"
2024,Round 3,CS,805,216,OBC,"IIT H CSE, IIT D CSE, IIT M CSE"
2024,Round 3,CS,805,260,OBC,"IISc CSA(Retained from R2), IIT Madras CSE TA"
2024,Round 3,CS,805,260,GEN,IIT Guwahati Mtech CSE
2024,Round 3,CS,805,260,OBC,"IISC CSA(retained from R2), IITM CSE TA"
2024,Round 3,CS,804,267,GEN,"IIT guwhati cse TA, IIT DELHI CTECH"
2024,Round 3,CS,804,267,GEN,"IIT Guwahati CSE, IIT Delhi Ctech , IIT Indore CSE(from prev round)"
2024,Round 3,CS,804,267,GEN,IIT Guwahati CSE TA
2024,Round 3,CS,800,280,EWS,IIT-Kanpur(Retained From 2)
2024,Round 3,CS,798,288,OBC,"IIT kanpur mtech cse, IIT Delhi mtech cse"
2024,Round 3,CS,797,300,EWS,"IIT K CS, IIT KGP CS, IIT R AI, IIT D cTech, IIT H NIS"
2024,Round 3,CS,784,349,GEN,IIT KGP- Embedded Control and Software
2024,Round 3,CS,784,349,GEN,IIT KGP Embedded Controls and Software
2024,Round 3,CS,784,349,EWS,"IIT KGP cse, IIT G cse , IIT HYD AI"
2024,Round 3,CS,782,359,GEN,iit gandhinagar cse ta
2024,Round 3,CS,780,365,OBC,IIT KGP
2024,Round 3,CS,778,370,GEN,IIT-R Applied Mathematics and Scientific Computing
2024,Round 3,CS,778,370,GEN,IIT BHU AI (TA)
2024,Round 3,CS,778,370,GEN,IIT Indore
2024,Round 3,CS,778,370,EWS,IIT G
2024,Round 3,CS,776,379,EWS,"IIT Roorkie Applied Maths and Scientific Computing (retained from round 2), IIT kgp ORDA"
2024,Round 3,CS,771,404,OBC,IIT DELHI MINDS (Retained from round 2)
2024,Round 3,CS,769,411,GEN,IIT Bombay CSE MS TA
2024,Round 3,CS,767,422,OBC,IIT Kanpur CSE (Retained from round 2)
2024,Round 3,CS,767,422,OBC,"IIT Kanpur CSE , IIT Roorkee cse"
2024,Round 3,CS,767,422,OBC,"IIT Roorkee CSE, IITK CSE (retained from round 2)"
2024,Round 3,CS,762,458,OBC,"IIT Kanpur CSE TA, IIT BHU IOT"
2024,Round 3,CS,762,458,OBC,"IIT BOMBAY MS by Research (TA) in CS, IIT Kanpur MTech CSE, IIT KGP MTech CSE(Retained from round 2)"
2024,Round 3,CS,760,468,EWS,IIT DELHI cyber security
2024,Round 3,CS,758,482,GEN,"IISC Robotics (Retained), IIT BHU CS - IOT"
2024,Round 3,CS,756,494,OBC,"IIT Kanpur CSE, IIT Kgp CSE, IIT Guwahati CSE, IIT Guwahti DS, IIT Roorkee AI, IIT Guwahti AI"
2024,Round 3,CS,756,494,OBC,"iit kanpur-cse, iit-kharagpur-cse, iit-guwahati-cse, iit-guwahati-ds, iit-guwahati-robotics and ai, iit roorkee-ai"
2024,Round 3,CS,756,494,OBC,"IIT Kanpur CSE TA, IIT KGP CSE TA"
2024,Round 3,CS,756,494,OBC,"IIT Roorkee Data Science , IIT Kanpur CSE, IIT Guwahati CSE, IIT Guwahati Data Science , IIT Delhi Cyber Security , IIT Kharagpur CSE"
2024,Round 3,CS,753,515,OBC,"iit kgp cse, iit d cyber security, iit guwahati cse"
2024,Round 3,CS,751,531,OBC,"IIT KGP CS, IIT Guwhati CS, IIT Jodhpur CS (Retained from R1)"
2024,Round 3,CS,751,531,GEN,"IIT Bombay MTech RAP , IIT Kgp MTech AI"
2024,Round 3,CS,751,531,GEN,IIT Ropar AI
2024,Round 3,CS,749,544,OBC,"IIT Kgp CSE, IIT Guwahati CSE"
2024,Round 3,CS,747,554,OBC,"IITG CSE TA, IITG Robotics and AI, IITD M.tech (AI), IIT BOMBAY MS (TA)"
2024,Round 3,CS,747,554,GEN,"IIT rpr cse, IIT ISM"
2024,Round 3,CS,747,554,EWS,"IIT ISM Dhanbad CSE, Industrial engineering and management IIT Kgp"
2024,Round 3,CS,745,565,OBC,IIT Guwahati M.tech CSE(TA)
2024,Round 3,CS,745,565,GEN,"IIT Dhanbad CS, IIT Ropar CS, IIT Mandi CS"
2024,Round 3,CS,744,577,EWS,IISc CDS
2024,Round 3,CS,744,577,OBC,bhu ai TA
2024,Round 3,CS,744,577,GEN,"IIT Ropar CS, IIT Ropar AI, IIT KGP safety engineering and analytics"
2024,Round 3,CS,744,577,EWS,"IIT DHANBAD CSE(RETAINED), IIT KGP AI"
2024,Round 3,CS,744,577,GEN,IIT BHU CSE TA
2024,Round 3,CS,738,618,EWS,"IIT HYD SMART MOBILITY, IIT BHU CS-IOT, IIT KGP SAFETY ENGINEERING AND ANALYTICS"
2024,Round 3,CS,738,618,GEN,"IIT Bhubaneshwar AI TA (Retained from Round 2), IIT Jodhpur (Cyber Physical Systems) TA"
2024,Round 3,CS,736,629,OBC,"Iit Bhu Iot, Iit Kgp ORDA"
2024,Round 3,CS,734,645,OBC,IIT Roorkee- Maths and computing
2024,Round 3,CS,731,N/A,OBC,"IITB MS TA, Kgp Operations and Data Analytics"
2024,Round 3,CS,731,677,OBC,"IIT kgp Operations research and data analytics , IIT Indore CSE"
2024,Round 3,CS,731,677,OBC,BHU(IOT)
2024,Round 3,CS,731,677,EWS,"IIT Bbsr AI(applied as general), AI, AI, AI, AI, AI, AI, AI"
2024,Round 3,CS,727,329,OBC,"IIT BHU CSE - IOT, IIT DELHI ( CYBERSECURITY), IIT DELHI (COMPUTER TECHNOLOGY)"
2024,Round 3,CS,726,722,OBC,"IIT BHU CSE-IOT, IIT KGP Embedded Controls and Software, IIT D Computer Technology"
2024,Round 3,CS,718,776,GEN,"IIT Patna AI, IIT Bhubaneswar AI"
2024,Round 3,CS,716,793,OBC,Embedded Controls and Software iit kgp
2024,Round 3,CS,715,810,OBC,IIT Dhanbad (Retained from 1st round)
2024,Round 3,CS,712,820,OBC,"IIT Delhi Computer Technology , IIT Kharagpur Safety engineering"
2024,Round 3,CS,709,405,EWS,IIT JODHPUR IOT(FROM ROUND 2)
2024,Round 3,CS,709,863,OBC,IIT ISM Dhanbad (CSE)
2024,Round 3,CS,701,922,OBC,"IIT KGP AI(Retained From round 2), IIT Dhanbad CSE, IIT Dhanbad DS"
2024,Round 3,CS,700,941,OBC,"IIT BHUBANESWAR , NIL"
2024,Round 3,CS,698,957,GEN,IIT JAMMU(FROM R1)
2024,Round 3,CS,698,957,OBC,"IIT Dhanbad, IIT Patna"
2024,Round 3,CS,697,971,OBC,IIT kharagpur AI (retained)
2024,Round 3,CS,697,971,OBC,IIT Patna
2024,Round 3,CS,697,971,EWS,"IIT bhubaneswar AI, IIT gandhinagar AI, IIT Gandhinagar AI"
2024,Round 3,CS,690,1015,OBC,IIT tirupati
2024,Round 3,CS,686,1085,GEN,"IIT Dhanbad Industrial Engineering and Management , IIT Bhilai Computer Science and Engineering , IIT Bhilai Data Science and Artificial Intelligence"
2024,Round 3,CS,682,1131,EWS,IIT PATNA AI
2024,Round 3,CS,682,1131,OBC,IIT BHUBANESWAR AI TA
2024,Round 3,CS,682,1131,EWS,"IIT Delhi MInDS (Retained 2), IIT Patna AI, MS Bombay CSE TA, IIT Kanpur Cognitive Systems, IIT KGP Quality and Reliability Engineering"
2024,Round 3,CS,679,1150,OBC,Iit kgp quality and reliability engineering
2024,Round 3,CS,679,1150,GEN,"IIT ISM Dhanbad MTech Industrial Engineering & Management, IIT Jammu MTech CSE 3 Years, IIT Dharwad MTech CSE TA, IIT Palakkad MTech Computing & Mathematics"
2024,Round 3,CS,672,1247,OBC,"IIT Goa, IIT Tirupati"
2024,Round 3,CS,671,1276,EWS,"Iit dharwad cse , Iit dharwad cse, Iit dharwad cse,iit bhilai cse"
2024,Round 3,CS,665,1337,OBC,"IIT Jodhpur CPS, IIT KGP Biomedical Engineering"
2024,Round 3,CS,661,1380,OBC,"IIR Roorkee Metallurgy, IIT Kharagpur Quality and Reliability, IIT Bombay CSE RA"
2024,Round 3,CS,661,1406,OBC,"IIT Jammu (round 2), IIT Palakkad Maths and Computing, IIT Palakkad Data Science"
2024,Round 3,CS,661,1406,GEN,IIT Jammu CSE
2024,Round 3,CS,657,1433,GEN,Iit indore ms cse
2024,Round 3,CS,654,1478,GEN,IIT Dharwad CSE TA
2024,Round 3,CS,654,1478,SC,"IIT Kharagpur CSE , IIT Madras CSE"
2024,Round 3,CS,650,1532,GEN,IIT Dharwad CSE TA
2024,Round 3,CS,650,1561,GEN,"IIT Patna MNC, IIT Dharwad CSE (TA), IIT Bhilai Data Science & Artificial Intelligence"
2024,Round 3,CS,646,1623,OBC,"IIT Bhilai, IIT Jammu (from 2nd round)"
2024,Round 3,CS,641,834,GEN,IIT jammu cse
2024,Round 3,CS,639,1709,EWS,Iit jammu 3 year mtech(retained from round 2)
2024,Round 3,CS,639,1741,OBC,"IIT Bhillai CSE, IIT bhillai DS&AI"
2024,Round 3,CS,635,1795,GEN,"IIT BOMBAY MS RAP, Mtech educational technology IITB"
2024,Round 3,CS,628,1883,OBC,Iit jodhpur (robotic and mobility)
2024,Round 3,CS,617,2140,GEN,IIT ISM Dhanbad (Electronics Engineering-Communications and Signal Processing)
2024,Round 3,CS,613,2174,OBC,"IIT Patna Mathematics & Computing, IIT Jammu M.Tech CSE, IIT Jammu M.Tech CSE (3 years)"
2024,Round 3,CS,613,2208,OBC,IIT Jammu
2024,Round 3,CS,613,2208,SC,"IIT Roorkee CSE, IIT Guwhati CSE"
2024,Round 3,CS,603,2376,SC,"IIT KANPUR CSE, IIT GUWAHATI CSE"
2024,Round 3,CS,599,2458,EWS,IIT patna MNC
2024,Round 3,CS,595,2554,SC,IIT kanpur
2024,Round 3,CS,592,2617,OBC,IIT Hyderabad techno enterprenuership
2024,Round 3,CS,591,2656,SC,IIT Gwahati - R and AI
2024,Round 3,CS,567,3233,SC,"IITB IEOR, IIT mandi CSE, IIT gandhinagar CSE"
2024,Round 3,CS,541,3998,SC,"IIT ISM Dhanbad CSE, IIT Ropar CSE"
2024,Round 3,CS,536,4201,SC,IIT Roorkee MnC
2024,Round 3,CS,494,5783,SC,Iit jammu
2024,Round 3,CS,476,6696,SC,IIT HYD Smart Mobility
2024,Round 3,CS,364,15898,PWD,IIT Hyderabad CSE
2024,Round 3,DA,813,68,GEN,"IIT Roorkee DS, IIT Guwahati Robitics and AI"
2024,Round 3,DA,767,114,GEN,"IIT gandhinagar Ai , IIT Delhi robotics , IIT Patna ai"
2024,Round 3,DA,762,124,OBC,"IIT Madras DSAI HTTA, IIT Guwahati DS"
2024,Round 3,DA,748,142,GEN,IIT ISM Dhanbad
2024,Round 3,DA,716,234,GEN,"IIT delhi Robotics , IIT bhuvneshwar AI"
2024,Round 3,DA,703,282,GEN,"IIT bombay mtech educational technology , Safety engineering and data analytics IIT KGP"
2024,Round 3,DA,698,300,OBC,"Iit Patna AI (retained from round 1), Iit Mandi cse, Iit ropar AI"
2024,Round 3,DA,693,316,OBC,IIT DELHI-Robotics
2024,Round 3,DA,463,2953,SC,Iisc SPML
2024,Round 4,CS,888,67,GEN,IIT Bombay CS TA (Retained from Round 3)
2024,Round 4,CS,863,102,GEN,"IIT Madras CSE TA, IIT Bombay CSE RA"
2024,Round 4,CS,855,112,GEN,"IIT Kanpur CS TA, IIT Bombay MS CS TA"
2024,Round 4,CS,852,118,GEN,IIT Kanpur CSE
2024,Round 4,CS,834,161,EWS,"IIT BOMBAY CS TA, IIT MADRAS TA(RETAINED), IIT DELHI TA"
2024,Round 4,CS,833,166,GEN,"IIT Kanpur CSE TA(Retained from round 3), IIT Hyderabad CSE TA"
2024,Round 4,CS,827,185,GEN,"IIT Kanpur CSE TA, IIT BOMBAY MS CSE TA, IIT BOMBAY MS CSE RAP, IIT HYDERABAD CSE TA"
2024,Round 4,CS,819,210,GEN,"IIT Kanpur CSE , IIT Guwahati DS, IIT Guwahati CSE (Retained from Previous Round)"
2024,Round 4,CS,816,216,EWS,"IIT kanpur, IIT delhi CSE"
2024,Round 4,CS,811,236,GEN,"IIT Kanpur CSE, IIT Kharagpur CSE"
2024,Round 4,CS,811,236,GEN,"IIT Kharagpur CSE (retained from round 3), IIT Kanpur CSE , IIT Roorkee cse"
2024,Round 4,CS,809,246,GEN,"IIT KGP, IIT Roorkee"
2024,Round 4,CS,808,253,GEN,"IIT Guwahati Mtech Cse (Retained from round 3), IIT Roorkee Mtech AI"
2024,Round 4,CS,805,260,GEN,"IIT Guwahati CS, IIT Kanpur CS"
2024,Round 4,CS,805,260,GEN,"IIT Guwahati CS , IIT Kgp CS"
2024,Round 4,CS,805,260,GEN,IIT KGP
2024,Round 4,CS,804,267,GEN,"IIT Guwahati (retained from round 3), IIT Kharagpur CSE TA"
2024,Round 4,CS,804,267,GEN,"Iit guwhati cse (retained from prev.), Iit kgp cse"
2024,Round 4,CS,804,267,GEN,"IIT Guwahati CSE TA, IIT Kharagpur CSE TA, IIT Guwahati Robotics and AI, IIT Roorkee AI"
2024,Round 4,CS,804,267,GEN,"IIT Kharagpur cse, IIT Guwahati cse(Retained), IIT Guwahati Robotics and Ai, IIT Roorkee ai"
2024,Round 4,CS,800,280,EWS,"IITK(Retain from 2) , IIT Roorkee"
2024,Round 4,CS,798,288,OBC,"IISC CSA , IIT Madras cse, IIT Delhi cse"
2024,Round 4,CS,797,300,EWS,"IIT K CS, IIT R CS, IIT M Industrial mathematics scientific computing"
2024,Round 4,CS,789,325,GEN,"IITG CSE TA, IIT KGP AI"
2024,Round 4,CS,787,331,OBC,"IIsc CSA TA, IIT H , Iit k (retained from round 3)"
2024,Round 4,CS,786,337,GEN,"IIT KGP AI, IITB MS RAP, IITD VDTT"
2024,Round 4,CS,784,349,EWS,"IIT KANPUR CSE , IIT KGP CSE (retain from r3), IIT ROORKEE AI, IIT GUWAHATI Data science"
2024,Round 4,CS,784,349,GEN,IIT Kharagpur Operations Research and Data Analytics
2024,Round 4,CS,782,359,GEN,iit gn cse
2024,Round 4,CS,778,370,EWS,"IIT GUWAHATI CSE, IIT kgp cse"
2024,Round 4,CS,778,370,GEN,"IIT-R Applied Mathematics and Scientific Computing , IIT-D Computer Technology"
2024,Round 4,CS,778,370,GEN,"Iit bhu ai(retained from round 3), Iit kgp embedded control and system"
2024,Round 4,CS,776,379,EWS,"IIT D MINDS Mtech, IIT KGP CS, IIT G CS"
2024,Round 4,CS,775,385,EWS,"Iit kgp, Iit guw."
2024,Round 4,CS,775,385,EWS,"IIT Guwahati Mtech CS, IIT Guwahati Mtech Robotics and AI, IIT Kharagpur Mtech CS"
2024,Round 4,CS,775,385,GEN,"IIT D ctech, IIT Roorkee Applied maths and SC (retain from round 3), IIT kgp ORDA"
2024,Round 4,CS,771,404,OBC,IIT D MINDS(RETAIND FROM R2)
2024,Round 4,CS,767,422,OBC,"IIT Kanpur (Retain from round 2), IIT Roorkee CSE, IIT Hydrabad Network Security"
2024,Round 4,CS,767,422,OBC,IITK CSE(retained from round 2)
2024,Round 4,CS,767,422,OBC,IIT KANPUR CSE TA
2024,Round 4,CS,767,422,OBC,IIT Kanpur CS TA
2024,Round 4,CS,760,468,EWS,"IIT DELHI cyber security (Retain R3), IIT Gandhinagar CSE"
2024,Round 4,CS,760,468,GEN,IIT Hyderabad Smart Mobility
2024,Round 4,CS,758,482,GEN,"IIT BHU CS-IOT (Retained from Round-3), IIT KGP Industrial Engg"
2024,Round 4,CS,756,494,EWS,"IIT kgp embedded control and software(retain), IIT kgp operations research and data analysis"
2024,Round 4,CS,756,494,OBC,"IIT Roorkee CSE TA, IIT Kanpur CSE TA"
2024,Round 4,CS,756,494,OBC,IIT Kanpur CS TA(R3 Retained)
2024,Round 4,CS,756,494,OBC,"iit kanpur cse, iit hyderabad ai, iit roorkee cse"
2024,Round 4,CS,755,509,EWS,IIT Delhi computer technology
2024,Round 4,CS,753,515,OBC,"IIT G DATA SCIENCE, IIT K, IIT KGP RETAINED IN 3rd round"
2024,Round 4,CS,751,531,GEN,IIT Ropar AI
2024,Round 4,CS,751,531,OBC,"IIT Kanpur CS, IIT Roorkee Data Science, IIT Guwhati Data Science, IIT KGP CS( Retained from R3)"
2024,Round 4,CS,749,544,OBC,IIT Kgp CSE (retained from round 3)
2024,Round 4,CS,747,554,EWS,IIT Delhi Computer Technology
2024,Round 4,CS,747,554,OBC,"IITR Data science , IIT KGP M.tech CSE , IITB CSE M.tech RA, IITB MS TA (Retained from round 3)"
2024,Round 4,CS,745,565,GEN,R2-IIT Mandi-Mtech CSE
2024,Round 4,CS,745,565,OBC,"IIT Kharagpur Mtech CSE(TA), IIT Guwahati Mtech AI(TA), IIT Guwahati Mtech CSE(TA)(Retain from round 3)"
2024,Round 4,CS,744,577,GEN,"IIT Guwahati CSE TA, IIT Kharagpur CSE TA"
2024,Round 4,CS,744,577,OBC,"iit bhu ai, iit guwhati cse, iit kgp cse"
2024,Round 4,CS,742,593,OBC,"IIT KGP CSE, IIT Guwahati CSE"
2024,Round 4,CS,742,593,OBC,"IITD CT, KGP CSE, Guhawati CSe"
2024,Round 4,CS,738,618,EWS,"IIT BHU CS-IOT, IIT ROPAR CSE, IIT ROORKEE MNC"
2024,Round 4,CS,738,618,GEN,"IIT Mandi CSE TA, IIT Ropar CSE TA, IIT Bhubaneshwar AI TA (Retained from previous round)"
2024,Round 4,CS,736,629,EWS,IIT Roorkee Applied Maths and scientific computing
2024,Round 4,CS,736,629,OBC,IIT Guwahati Mtech CSE
2024,Round 4,CS,736,629,OBC,"IIT KGP ORDA, IIT BHU AI, IIT GUWAHATI AI"
2024,Round 4,CS,731,677,EWS,"IIT Hyderabad Smart Mobility (Rejected), IIT Dhanbad CSE (retained)"
2024,Round 4,CS,731,677,OBC,"IIT BHU(IoT) retained , IIT Gandhinagar CSE"
2024,Round 4,CS,731,677,OBC,"IIT indore CSE, IIT Guwahati Robotics and AI"
2024,Round 4,CS,729,700,GEN,"IIT patna CSE, IIT Mandi CSE"
2024,Round 4,CS,727,329,OBC,"IIT BHU IOT, IIT Roorkee Data Science"
2024,Round 4,CS,726,722,OBC,"IIT D - Ctech (Retained from round 3), IIT R - Applied Math & Scientific Computing, IIT KGP - ORDA"
2024,Round 4,CS,726,722,OBC,IIT gandhinagar CSE
2024,Round 4,CS,723,733,GEN,IIT PATNA CSE TA
2024,Round 4,CS,723,733,OBC,IIT BHU CSE IOT
2024,Round 4,CS,723,733,OBC,IIT Delhi Cyber Security
2024,Round 4,CS,712,820,GEN,IIT Patna AI
2024,Round 4,CS,712,820,OBC,IIT Delhi CTech (retained from round 3)
2024,Round 4,CS,709,405,EWS,IIT JODHPUR IOT(FROM ROUND 2)
2024,Round 4,CS,709,863,OBC,IIT Bombay MS CSE TA
